frame,person_box,alert,reason
34,"(694, 77, 770, 201)",0,none
34,"(672, 183, 793, 377)",0,none
35,"(281, 18, 353, 214)",0,none
35,"(691, 78, 772, 207)",0,none
35,"(656, 183, 792, 374)",0,none
35,"(491, 1, 529, 62)",0,none
35,"(123, 45, 193, 199)",0,none
36,"(280, 19, 353, 214)",0,none
36,"(670, 182, 794, 383)",0,none
36,"(690, 77, 773, 214)",0,none
36,"(163, 24, 213, 192)",0,none
36,"(471, 1, 518, 61)",0,none
36,"(471, 2, 504, 61)",0,none
37,"(279, 25, 353, 214)",0,none
37,"(667, 181, 793, 379)",0,none
37,"(693, 77, 772, 199)",0,none
37,"(475, 0, 508, 61)",0,none
38,"(281, 25, 353, 213)",0,none
38,"(691, 76, 773, 207)",0,none
38,"(671, 184, 795, 381)",0,none
38,"(485, 0, 524, 61)",0,none
39,"(273, 36, 349, 213)",0,none
39,"(696, 79, 772, 209)",0,none
39,"(671, 187, 795, 380)",0,none
39,"(529, 0, 561, 64)",0,none
39,"(502, 13, 532, 62)",0,none
40,"(278, 33, 352, 215)",0,none
40,"(695, 79, 773, 216)",0,none
40,"(515, 6, 542, 64)",0,none
40,"(672, 187, 791, 378)",0,none
41,"(276, 33, 353, 215)",0,none
41,"(695, 79, 772, 214)",0,none
41,"(672, 186, 794, 374)",0,none
42,"(276, 30, 352, 217)",0,none
42,"(695, 79, 772, 211)",0,none
42,"(673, 186, 793, 373)",0,none
42,"(542, 2, 568, 67)",0,none
43,"(279, 32, 351, 217)",0,none
43,"(694, 79, 772, 213)",0,none
43,"(669, 184, 794, 370)",0,none
43,"(539, 0, 566, 67)",0,none
44,"(278, 31, 350, 217)",0,none
44,"(695, 79, 772, 211)",0,none
44,"(673, 183, 794, 368)",0,none
44,"(535, 4, 562, 67)",0,none
45,"(278, 31, 351, 217)",0,none
45,"(695, 79, 771, 215)",0,none
45,"(672, 183, 795, 384)",0,none
46,"(278, 29, 351, 217)",0,none
46,"(695, 79, 770, 212)",0,none
46,"(670, 184, 794, 385)",0,none
47,"(277, 33, 351, 217)",0,none
47,"(670, 185, 794, 382)",0,none
47,"(695, 79, 771, 215)",0,none
48,"(278, 31, 349, 216)",0,none
48,"(669, 183, 795, 384)",0,none
48,"(694, 79, 771, 212)",0,none
49,"(278, 31, 349, 217)",0,none
49,"(694, 79, 771, 213)",0,none
49,"(666, 184, 797, 384)",0,none
50,"(279, 34, 350, 217)",0,none
50,"(693, 79, 770, 215)",0,none
50,"(665, 186, 795, 371)",0,none
50,"(241, 1, 283, 83)",0,none
51,"(276, 32, 351, 218)",0,none
51,"(694, 79, 770, 215)",0,none
51,"(671, 183, 800, 383)",0,none
51,"(230, 0, 285, 115)",0,none
52,"(280, 30, 351, 217)",0,none
52,"(186, 4, 244, 171)",0,none
52,"(671, 183, 794, 375)",0,none
52,"(686, 73, 773, 218)",0,none
53,"(123, 41, 209, 232)",0,none
53,"(280, 25, 351, 217)",0,none
53,"(718, 79, 781, 203)",0,none
53,"(671, 184, 796, 373)",0,none
54,"(260, 35, 352, 219)",0,none
54,"(152, 49, 260, 266)",0,none
54,"(711, 79, 779, 214)",0,none
54,"(671, 185, 796, 383)",0,none
55,"(164, 45, 255, 263)",0,none
55,"(259, 37, 350, 220)",0,none
55,"(671, 185, 794, 380)",0,none
55,"(701, 79, 779, 221)",0,none
56,"(254, 37, 351, 221)",0,none
56,"(43, 87, 152, 294)",0,none
56,"(703, 79, 779, 221)",0,none
56,"(670, 185, 794, 379)",0,none
57,"(248, 42, 348, 221)",0,none
57,"(685, 80, 780, 224)",0,none
57,"(672, 183, 794, 375)",0,none
57,"(0, 126, 54, 289)",0,none
58,"(265, 31, 354, 221)",0,none
58,"(684, 80, 779, 223)",0,none
58,"(671, 184, 794, 376)",0,none
59,"(280, 31, 358, 220)",0,none
59,"(683, 79, 778, 221)",0,none
59,"(671, 184, 794, 373)",0,none
60,"(278, 28, 349, 219)",0,none
60,"(670, 183, 793, 377)",0,none
60,"(711, 80, 779, 215)",0,none
61,"(281, 28, 353, 224)",0,none
61,"(668, 184, 793, 378)",0,none
61,"(715, 78, 774, 200)",0,none
62,"(276, 34, 352, 216)",0,none
62,"(670, 183, 793, 380)",0,none
62,"(709, 80, 779, 215)",0,none
63,"(274, 32, 351, 218)",0,none
63,"(671, 184, 794, 375)",0,none
63,"(705, 80, 780, 215)",0,none
64,"(279, 35, 351, 218)",0,none
64,"(704, 80, 780, 215)",0,none
64,"(671, 183, 794, 372)",0,none
65,"(277, 32, 351, 218)",0,none
65,"(671, 184, 793, 375)",0,none
65,"(700, 79, 780, 218)",0,none
66,"(281, 34, 351, 218)",0,none
66,"(671, 184, 793, 376)",0,none
67,"(279, 34, 351, 218)",0,none
67,"(691, 80, 781, 220)",0,none
67,"(671, 186, 793, 382)",0,none
68,"(278, 31, 351, 218)",0,none
68,"(699, 80, 780, 219)",0,none
68,"(672, 186, 793, 382)",0,none
69,"(279, 31, 351, 218)",0,none
69,"(702, 81, 780, 216)",0,none
69,"(671, 188, 792, 382)",0,none
70,"(279, 32, 351, 218)",0,none
70,"(700, 81, 780, 208)",0,none
